,NX035,NX026,NX030,NX020,NX023,NX034,NX031,NX022,NX032,NX025,NX036,NX019,NX029,NX021,NX033,NX027,NX037,NX038,NX028,NX024
AAR2,0.21,0.09,0.31,-0.17,0.47,0.08,0.11,0.28,0.03,0.06,0,0.23,0,-0.09,0.14,-0.25,-0.07,0.17,0.25,0.02
AARS,-0.17,-0.2,-0.25,-0.11,-0.07,-0.19,-0.31,-0.11,-0.2,-0.25,-0.27,-0.28,-0.25,-0.16,-0.25,-0.06,-0.2,-0.18,-0.03,-0.1
AARS2,0.11,0.25,0.33,0.42,0.04,-0.18,0.19,0.32,-0.3,0.04,-0.04,0.63,0.34,0.32,-0.11,-0.08,0.19,0.24,0.06,0.14
AARSD1,0.2,0.19,0.14,0.21,0.11,0.03,-0.01,-0.02,-0.05,-0.17,0.08,-0.1,-0.01,0.21,0.08,0.09,0.12,0,0.5,-0.05
AASDHPPT,-0.18,-0.11,-0.12,-0.07,0.13,-0.33,-0.51,0,-0.25,-0.1,0.06,0.02,-0.26,-0.13,0.1,-0.3,-0.06,-0.16,-0.04,-0.19
AASS,0.44,0.5,0.62,0.68,0.45,0.64,0.72,0.86,0.6,0.45,0.79,1.84,0.55,0.62,0.9,0.03,1.03,0.74,0.4,0.61
AATF,0.25,0.63,0.28,-0.08,0.15,0.15,0.16,-0.43,0,-0.1,-0.35,0.21,0.1,0.18,-0.27,-0.12,-0.13,-0.11,0.36,0.02
ABAT,0.22,-0.49,-0.1,1.17,0.42,2.05,0.36,0.03,2.13,-0.07,2.05,0.47,-0.08,0.03,2.12,-0.19,2.14,1.6,0,0.19
ABCA1,-0.05,1.03,0.84,NA,0.06,-0.26,NA,1.7,-0.42,0.24,NA,NA,-0.14,0.23,0.58,1.22,0.07,NA,0.28,0.34
ABCA2,0.52,NA,0.23,0.29,-0.15,-0.81,0.45,0.53,-0.58,0.18,-0.44,-1.49,-0.19,0.46,-0.15,0.45,0.82,0.25,0.26,0.08
ABCA3,NA,NA,NA,1,-0.53,NA,-0.08,NA,NA,NA,0.29,0.63,0.79,1.63,-0.14,NA,NA,0.64,NA,-0.14
ABCA5,0.49,NA,-0.16,NA,-0.27,NA,1.86,-0.2,NA,-0.12,1.27,-1.71,NA,NA,0,0.66,-0.32,NA,NA,NA
ABCA8,0.11,1.64,NA,1.1,0.67,0.08,NA,NA,-0.1,-0.29,NA,NA,0.86,0.09,-0.92,0.49,NA,1.27,1.4,-0.04
ABCA9,0.16,0.55,NA,-0.36,-1.34,1.48,0.88,0.12,1.29,NA,-0.42,NA,1.41,0.22,NA,0.04,1.87,-0.2,1.6,-0.23
ABCB1,0.45,0.92,0.35,0.31,0.73,0.04,0.05,0.99,0.62,0.59,0.55,1.23,-0.37,0.25,0.44,-0.26,0.51,0.28,-0.6,0.26
ABCB10,-0.14,0.44,-0.08,-0.14,0.3,0.07,0.09,0.18,0.17,-0.03,0.09,-0.28,0.32,-0.07,0.26,-0.08,-0.08,0.06,0.02,-0.2
ABCB6,-0.1,0.33,-0.58,-0.48,-0.32,-0.52,0.09,0,-0.33,-0.28,-0.49,-0.68,-0.32,-0.49,-0.33,-0.19,-0.02,-0.17,0.1,-0.33
ABCB7,-0.06,0.44,0.02,-0.13,0.04,-0.65,-0.19,-0.09,-0.32,0.02,-0.25,0.17,0.14,-0.08,0.2,0.11,0.02,-0.18,0.14,-0.01
ABCB8,-0.43,0,-0.01,-0.14,0.07,0.01,0.04,0.04,0.21,0.01,0.66,-0.09,0,0,0.13,-0.29,-0.07,0.27,-0.29,-0.1
ABCC1,-0.11,0.22,0.17,-0.18,-0.16,-0.4,0.27,-0.01,-0.39,0.13,-0.3,-0.63,0.06,0.11,-0.36,0.09,-0.28,-0.16,0.32,-0.03
ABCC10,-0.01,0.78,-0.07,0.2,0.36,-0.09,-0.34,NA,-0.07,0.05,-0.17,1.2,0.07,-0.25,-0.06,-0.09,0.16,0.66,-0.33,-0.09
ABCC3,0.34,0.36,0.62,0.59,0.04,0.93,0.52,-0.04,1.39,0.74,1.16,-0.2,0.3,0.63,1.22,-0.1,1.03,1.24,-0.16,0.59
ABCC4,-0.09,0.95,-0.01,-0.28,-0.14,-0.46,0.35,0.05,-0.22,0.05,-0.35,-0.57,-0.13,-0.02,-0.36,0.14,-0.25,-0.1,0.23,0.04
ABCC5,-1.11,0.46,-0.14,NA,-1.35,NA,NA,NA,NA,NA,NA,NA,NA,0.63,-0.11,-0.28,NA,NA,NA,0.47
ABCD1,-0.33,0.51,-0.43,-0.41,0.23,-0.43,-0.4,-0.36,0.2,0.2,-0.02,0.14,-0.15,-0.32,0.34,-0.1,0.1,-0.24,-0.28,-0.09
ABCD2,NA,0.86,NA,NA,0.68,NA,NA,NA,NA,-0.12,NA,1.37,NA,NA,NA,NA,0.05,NA,NA,NA
ABCD3,-0.72,-0.72,-0.78,-1.3,-0.68,-0.48,-0.31,-1.24,-0.07,-0.61,0.13,-1.33,-0.28,-0.72,0.2,-0.63,-0.32,-0.35,-0.75,-0.78
ABCD4,0.15,-0.12,0.41,-0.07,0.25,0.2,0.02,-0.31,0.46,0.28,0.49,-0.15,-0.04,0.22,0.56,-0.1,-0.11,0.2,0.06,0.11
ABCE1,-0.22,-0.24,-0.04,-0.2,0.05,-0.31,-0.24,-0.11,-0.21,-0.14,-0.31,-0.52,-0.22,-0.13,-0.02,-0.15,-0.21,-0.23,-0.03,-0.31
ABCF1,-0.35,-0.18,-0.1,-0.27,-0.08,-0.26,-0.13,-0.19,-0.2,-0.05,-0.13,-0.19,-0.13,-0.19,-0.19,-0.1,-0.29,-0.33,-0.03,-0.12
ABCF2,0.06,-0.08,-0.19,-0.32,0.16,-0.09,-0.2,-0.14,-0.07,-0.12,-0.05,-0.45,-0.05,-0.12,0.16,-0.05,-0.23,-0.29,0,-0.1
ABCF3,0.01,-0.22,-0.05,-0.22,-0.06,-0.04,-0.08,-0.25,-0.06,0.03,0.06,-0.7,0.01,-0.14,0.05,0.04,-0.17,-0.2,-0.04,-0.19
ABCG1,-1.23,-0.08,-0.35,-1.1,-0.46,-0.9,-0.57,-1.09,-0.31,0,-0.03,-1.83,0.36,-0.83,0.08,-0.91,-0.4,-0.51,-0.28,-0.69
ABHD10,0.01,-0.38,0.39,0.64,-0.22,-0.1,-0.07,0.15,-0.04,-0.3,-0.13,0.83,0.33,0.25,0.04,0.05,0.16,-0.2,-0.05,-0.08
ABHD11,-0.12,0.21,0.24,0.25,-0.44,0.06,-0.05,-0.09,0.04,-0.12,0.12,-0.19,0.13,0.02,-0.05,-0.01,0.13,0.17,-0.12,-0.5
ABHD12,0.05,0.5,0.14,-0.18,0.42,-0.38,0.39,-0.07,-0.18,0.35,-0.15,0,-0.08,-0.02,-0.19,0.23,0.05,-0.01,0.12,0.25
ABHD13,-0.09,-0.26,-0.59,-0.53,0.02,0.1,-0.24,0,-0.22,0.07,-0.26,0.09,-0.05,-0.05,-0.12,-0.14,0.26,-0.48,-0.17,0.05
ABHD14A-ACY1,0.09,-0.24,0.89,0.7,-0.2,-0.01,-0.14,0.01,-0.11,-0.35,0.11,-0.71,0.21,0.38,-0.05,-0.36,0.04,-0.02,0.12,-0.34
ABHD14B,0.18,0.4,0.22,0.26,-0.15,0.35,0.07,0.3,0.06,0.13,0.2,1.08,0.05,0.3,-0.33,-0.35,0.19,0.43,-0.24,0
ABHD16A,0.2,0.03,0.18,-0.01,-0.13,-0.11,0.26,-0.11,0.19,0,0.31,0.03,-0.02,0.19,0.43,-0.18,-0.04,0.24,-0.09,0.08
ABHD17A,0.36,1.11,-0.12,NA,0.37,0,0.26,NA,0.3,0.48,0.36,0.07,0.22,-0.11,0.46,0.16,-0.42,NA,-0.44,-0.15
ABHD17B,0.82,1.04,-0.15,4.86,0.24,0.3,0.13,0.09,0.48,0.15,0.57,-0.76,-0.05,-0.21,0.69,0.46,0.18,1.85,-0.09,-0.11
ABHD17C,NA,0.51,NA,-0.39,-0.6,0.72,0.29,-0.54,0.03,0.16,0.68,-1.19,0.22,0.5,-0.36,NA,0.53,0.21,0.42,0.75
ABHD2,NA,0.5,-0.06,NA,0.13,NA,0.52,NA,NA,0.08,-0.04,0.19,NA,0.14,NA,NA,0.01,NA,NA,0.16
ABHD3,-0.31,NA,-0.2,-0.05,0.39,0.03,NA,0.07,-0.07,NA,NA,NA,NA,0.5,0.43,0.32,0.55,-0.24,NA,0.63
ABHD4,-0.19,0.01,-0.1,0.05,0.54,0.26,0.26,0.12,0.51,0.3,0.33,0.96,0.08,-0.3,0.34,0.38,0.24,-0.05,0,-0.17
ABHD5,-0.14,0.23,0.19,-0.7,0.18,0.12,0.18,-0.49,0.55,0.65,0.24,0.52,-0.06,-0.46,1.18,-0.04,0.02,-0.66,-0.37,0.08
ABHD6,-0.25,0.45,-0.11,0.34,-0.15,-0.39,0.05,-0.02,-0.28,0.09,-0.14,-0.17,-0.71,-0.16,-0.52,-0.22,-0.4,0.19,0.44,-0.37
ABI1,0.05,-0.01,-0.08,-0.08,0.14,0.26,-0.05,0.04,-0.16,0.02,0.22,0,-0.08,-0.06,0.14,-0.18,-0.04,0.24,-0.2,0.2
ABI2,-0.21,-0.18,0.19,0.23,-0.51,-0.44,0.09,0.33,-0.42,-0.12,-0.68,0.62,-0.19,0.29,-1.01,-0.19,-0.22,-0.28,0.01,0.4
ABI3,-0.17,0.23,-0.55,-0.22,1.18,0.76,-0.16,-0.25,0.41,0.25,0.43,-0.13,-0.18,-0.29,0.33,0.09,0.27,0.27,-0.14,0.19
ABI3BP,-0.76,-0.92,-1.35,-0.29,1.87,-0.73,-0.36,0.77,-0.75,-1.55,-1.16,0.37,-0.53,-0.26,-1.36,-1.18,-0.16,-0.76,-1.09,-0.62
ABL1,0.01,0.29,-0.03,0.08,0.47,-0.16,-0.03,0.35,0.1,0.2,-0.16,0.54,-0.08,0.09,0.15,0.04,0.08,-0.07,0.19,0.33
ABL2,-0.47,-0.25,0.05,0.04,-0.32,-0.31,-0.31,0.16,0.13,-0.14,-0.25,0.72,0.31,-0.03,-0.16,-0.11,0.14,-0.56,0.14,-0.06
ABLIM1,-0.31,0.24,-0.5,-0.29,0.36,0.01,-0.13,-0.11,-0.01,0.1,-0.03,0.36,-0.17,-0.4,0,-0.47,0.19,-0.03,-0.58,0.18
ABLIM2,-0.12,1.16,0.03,0.2,0.9,0.22,0.28,-0.11,-0.27,NA,0.05,NA,0.19,-0.35,-0.42,-0.16,-0.83,-0.09,NA,0.25
ABLIM3,NA,NA,-0.08,NA,2.13,NA,0.19,0.1,NA,NA,0.12,NA,NA,NA,-0.04,NA,0.42,NA,NA,NA
ABO,NA,3.45,NA,-0.32,NA,1.75,0.73,0.55,NA,2.98,0.9,NA,NA,NA,NA,NA,NA,-0.11,0,NA
ABR,-0.2,0.17,0.11,0.03,0.71,0,-0.26,-0.04,0.06,0.07,-0.03,0.05,-0.13,-0.19,0.22,-0.07,-0.11,0,-0.03,0.08
ABRACL,0.08,0.27,0.21,-0.18,-0.32,0.31,-0.05,-0.75,0,-0.61,0.4,-0.63,-0.04,-0.01,-0.1,-0.45,-0.51,0.06,0.01,-0.22
ABRAXAS1,0.24,0.09,0.22,0.14,-0.07,0.25,0.2,0.35,0.09,0.09,-0.19,0.46,0.04,0.41,-0.14,0,0.11,0.07,0.11,0.32
ABRAXAS2,-0.26,-0.14,0.09,-0.15,0.15,0.05,-0.03,0.07,-0.13,-0.31,0.14,0.13,-0.01,-0.02,0.06,-0.02,-0.01,0.06,-0.08,-0.11
ABT1,0.22,-0.69,-0.41,-0.47,-0.05,-0.23,0.04,-0.8,0.14,-0.19,-0.09,-0.89,-0.28,-0.21,-0.76,0.37,-0.01,-0.49,-0.15,0.18
ABTB2,0.3,1.17,0.07,0.27,0.63,0.15,-0.56,0.32,0.11,-0.16,0.95,1.35,0.75,-0.19,1.23,-0.54,1.18,0.49,0.27,0.09
ACAA1,-0.08,-0.54,-0.4,-0.56,0.24,0.17,-0.27,-0.32,0.34,-0.09,0.46,-0.7,-0.1,-0.33,0.36,-0.11,0.21,-0.05,-0.13,-0.41
ACAA2,0.18,-0.13,0.34,0.19,0.58,0.18,0.28,0.43,0.11,0.35,0.27,0.77,0.23,0.22,0.62,0.23,0.3,0.02,0.03,0.04
ACACA,-0.54,-0.36,-0.67,-0.74,-0.44,-0.52,-0.53,-0.73,-0.55,-0.58,-0.33,-0.52,-0.25,-0.69,-0.2,-0.49,-0.54,-0.58,-0.5,-0.69
ACAD10,-0.08,0.15,-0.42,-0.23,-0.22,-0.15,-0.06,-0.11,-0.2,-0.02,-0.27,-0.27,0.21,-0.24,-0.22,-0.03,-0.18,-0.29,0.1,-0.03
ACAD11,-0.39,-0.11,-0.84,-0.44,-0.7,-0.61,-0.29,-0.45,-0.26,-0.47,-0.13,-0.44,-0.42,-0.62,-0.06,-0.21,-0.17,-0.62,-0.51,-0.44
ACAD8,0.13,-0.29,0.49,0.42,-0.28,-0.21,-0.14,0.23,-0.01,-0.17,0.02,0.05,0.29,0.43,-0.01,-0.16,-0.1,0.07,0.29,-0.11
ACAD9,0.04,-0.03,0.35,0.24,-0.17,-0.23,-0.43,0.15,-0.1,-0.18,-0.06,0.58,0.02,0.32,-0.15,0.01,0.09,0.18,0.16,0.11
ACADL,NA,0.43,0.73,NA,-0.83,-0.48,0.21,NA,NA,-0.35,-0.24,-0.33,0.28,0.84,-0.93,NA,-0.63,NA,0.28,-0.94
ACADM,-0.15,0.01,-0.13,0.4,-0.31,-0.1,-0.06,-0.06,-0.12,-0.44,-0.17,-0.29,0.28,-0.15,-0.16,-0.06,-0.02,-0.1,-0.1,-0.04
ACADS,0.14,0.17,-0.09,0.64,0.21,0.22,0.12,0.29,-0.11,-0.15,1.03,0.5,0.54,-0.34,1.13,-0.06,0.34,0.3,0.12,0.12
ACADSB,0.22,-0.08,-0.26,0.15,0.15,0.94,0.13,0.17,1.45,-0.17,1.28,0.23,0.07,-0.19,1.74,-0.37,1.34,0.87,-0.1,0.08
ACADVL,-0.03,-0.02,0.19,0.38,-0.16,-0.14,-0.16,0.1,-0.03,0.07,0.2,0.14,0.08,0.22,-0.01,0.04,0.11,0.05,0.16,-0.04
ACAN,-1.03,-0.46,-1.17,-0.66,-1.31,-0.78,-0.63,-0.07,-0.69,-0.61,-0.16,-0.53,-0.7,-0.31,0.24,-0.99,-0.6,-0.97,-0.4,-0.04
ACAP1,0.41,0.5,-0.56,-0.56,2.1,0.64,0.05,0.14,0.7,0.74,0.35,0.29,0.35,-0.3,0.81,0.56,0.25,0.23,-0.33,0.68
ACAP2,-0.12,-0.05,-0.04,-0.13,0.16,-0.14,-0.11,0.06,-0.15,0.12,-0.16,0.26,-0.22,-0.02,0.01,-0.02,-0.16,-0.1,-0.13,0.18
ACAP3,0.22,0.54,0.31,NA,NA,0.16,0.82,NA,0.5,0.84,0.49,-0.54,-0.03,0.56,0.14,0.08,-0.06,NA,0.12,0.66
ACAT1,-0.28,-0.15,0.09,0.22,-0.1,0.17,-0.08,0.12,0.06,-0.34,0.25,0.83,0.15,0.16,0.22,-0.37,0.39,0.04,0.01,-0.25
ACAT2,-0.2,0,-0.29,-0.23,0.16,0.03,-0.14,0.23,-0.34,-0.12,-0.01,-0.14,-0.07,-0.45,0.13,-0.24,-0.13,0.09,-0.04,-0.57
ACBD3,-0.05,-0.2,-0.29,-0.24,0.11,0.19,0.02,-0.32,0.26,0.06,0.38,-0.27,0.1,-0.18,0.3,-0.17,0,0.06,-0.19,-0.06
ACBD5,-0.28,0.03,-0.42,-0.9,-0.08,0.37,0.09,-0.5,0.87,-0.27,0.9,-0.78,0.04,-0.35,0.96,-0.33,0.55,0.45,-0.55,-0.5
ACBD6,0.08,-0.21,-0.04,-0.03,0.17,-0.23,-0.07,0.11,-0.12,-0.11,0.02,-0.1,-0.02,0.09,-0.23,0.23,-0.02,-0.09,0.26,0.25
ACBD7,-0.81,-1.14,-0.81,-0.91,-0.43,-1.21,-0.6,-0.83,-1.56,-0.94,-0.59,-1.48,0.03,-0.82,-1.41,-0.08,-1.15,-1.44,-0.24,-1.01
ACD,0.09,NA,-0.07,0.16,0.13,0.34,0.12,0.3,0.78,NA,-0.11,0.46,-0.06,0.4,-0.21,0.13,0.02,0.2,0.99,0.51
ACE,0.89,1.1,2.89,1.33,2.14,0.67,1.36,0.93,0.78,0.04,1.62,-0.46,0.65,2.92,0.98,0.97,1.15,1.25,0.81,-0.28
ACIN1,0.09,0.02,0.17,0.32,0.01,0.15,0.22,0.08,0,0.1,-0.05,0.16,0.07,0.06,-0.18,0.04,-0.02,0.26,0.21,0.13
ACLY,-0.15,0.21,-0.14,-0.39,0.25,0.22,0.14,-0.36,0.3,-0.11,0.27,-0.56,-0.09,-0.21,0.29,-0.02,0.14,0.01,-0.27,-0.34
ACO1,0.04,0.26,0.31,0.16,0.17,0.17,0.09,0.25,0.01,0.27,-0.05,-0.07,-0.11,0.21,-0.16,0.06,0.13,0.1,0.16,0.26
ACO2,0.06,-0.11,0.45,0.48,-0.29,0.21,0.08,0.19,0.26,-0.14,0.62,0.26,0.28,0.24,0.54,0,0.26,0.36,0.13,-0.12
ACOT1,-0.41,-0.33,-0.1,0.06,-0.17,-0.84,-0.14,0.31,-0.88,-0.26,-0.31,0.53,-0.46,0.2,-0.14,-0.44,-0.22,-0.34,-0.22,0.04
ACOT11,-0.04,-0.48,0.19,-0.01,-0.51,1.15,0,-0.4,1.31,-0.39,1.09,-0.42,-0.45,0.39,0.95,-0.53,0.94,0.83,-0.24,0.01
ACOT13,-0.33,-0.14,0.2,0.27,-0.22,-0.41,-0.15,-0.08,-0.32,-0.4,-0.1,0.56,0.28,0.22,-0.2,-0.47,0.09,-0.2,-0.2,-0.03
ACOT4,0.21,0.24,-0.88,-0.66,0.11,-1.58,NA,-0.56,-1.1,-0.55,NA,-1.25,-0.63,-1.65,-0.7,0.25,-0.26,-0.87,-0.47,0
ACOT7,0.16,-0.4,-0.36,-0.05,0.53,0.1,-0.23,-0.09,0.13,0.09,0.02,-0.21,-0.05,-0.21,0.28,0.14,-0.1,-0.14,0.18,-0.29
ACOT8,-0.53,-0.26,-0.76,-0.84,-0.09,-0.15,-0.4,-0.79,0.35,-0.33,-0.08,-0.96,-0.39,-0.44,0.07,-0.18,-0.12,-0.22,-0.81,-0.39
ACOT9,-0.22,0.03,0.1,0.01,0.29,-0.08,-0.01,0.17,0.22,0.06,0.25,0.29,-0.11,0.18,0.44,-0.11,0.33,-0.04,-0.23,0.05
ACOX1,-0.38,0.1,-0.54,-0.73,-0.5,-0.41,-0.58,-0.74,-0.48,-0.25,-0.33,-0.9,-0.04,-0.42,-0.1,-0.34,-0.33,-0.68,-0.42,-0.52
ACOX2,NA,-0.28,-0.56,-0.32,-0.58,0.2,0.09,0.05,-0.37,1.03,-0.28,0.63,-0.31,NA,NA,NA,-0.08,0.14,0.32,NA
ACOX3,-0.07,-0.3,-0.21,-0.29,-0.28,0.14,0.09,-0.59,0.67,-0.22,0.54,-0.42,-0.31,-0.35,0.67,-0.48,0.35,-0.02,-0.48,-0.15
ACP1,-0.12,0.57,0.37,0.25,-0.11,-0.07,-0.05,-0.12,-0.19,0.29,-0.27,0.53,-0.22,-0.02,-0.35,-0.12,0.21,-0.02,0.29,0.05
ACP2,-0.07,0.52,0.13,-0.4,-0.08,-0.27,-0.22,-0.22,0.06,0.12,0.04,-0.59,-0.05,0.11,-0.05,-0.05,-0.33,-0.03,0.07,-0.04
ACP5,0.22,0.44,-0.2,-0.31,0.68,-0.53,-0.34,-0.7,0.01,0.57,0.06,-0.09,-0.16,-0.13,-0.74,0,-0.32,0.09,1.1,-0.25
ACP6,-0.1,0.12,0.07,-0.4,-0.88,0.18,0.22,-0.71,0.18,-0.13,-0.04,0.41,0.43,0.04,0.04,-0.28,0.07,0.14,-0.35,-0.72
ACPP,0.05,0.46,0.55,-0.14,-0.13,1.03,1.33,-0.06,1.38,-0.09,2.76,-1.04,-0.69,0.09,2.84,-0.63,1.87,1.65,0.32,-0.2
ACSF2,-0.26,-0.26,-0.42,-0.36,-0.71,-0.44,-0.45,-0.32,-0.31,-0.56,-0.13,0.26,0.25,-0.33,-0.03,0.04,-0.28,-0.32,0.01,-0.16
ACSF3,0.12,0.12,0.79,0.51,0.15,0.24,0.21,0.39,0.46,0.01,0.4,0.68,0.43,0.63,0.49,0.45,0.23,0.15,0.2,0.4
ACSL1,-0.26,0,-0.31,-0.13,0,-0.02,-0.04,-0.4,0.29,-0.28,0.28,-0.64,-0.21,-0.19,0.51,-0.35,-0.08,0,-0.31,-0.21
ACSL3,-0.44,-0.53,-0.4,-0.47,-0.42,-0.71,-0.36,-0.47,-0.6,-0.28,-0.55,-0.47,-0.26,-0.36,-0.43,-0.33,-0.56,-0.54,-0.28,-0.4
ACSL4,-0.27,-0.56,-0.49,-0.93,-0.43,0.41,0.24,-0.74,0.73,-0.26,1.75,-0.81,0.15,-0.61,1.49,-0.46,0.32,0.69,-0.55,-0.35
ACSL5,0.38,0.73,0.07,1.26,0.04,1.6,1.36,-0.85,1.67,0.48,1.78,-1.96,0.03,-0.25,2.48,-1.09,1.17,1.95,-0.47,0.62
ACSM3,-0.09,-0.32,0.44,0.44,-0.58,0.05,-0.03,-0.71,0.44,-0.34,1.27,-0.67,0.53,0.11,1.37,-0.56,0.36,0.3,-0.26,-0.31
ACSS1,-0.18,0.24,0.47,0.47,-0.09,-0.24,0.25,0.29,-0.2,-0.6,0.07,-0.32,0.35,0.32,0.02,0.2,0.04,-0.17,-0.11,-0.01
ACSS2,-0.09,0.01,0.18,-0.27,-0.19,0.06,0.16,-0.21,0.2,-0.16,0.03,0.29,-0.48,-0.05,0.08,-0.16,0.19,0.08,-0.27,-0.1
ACSS3,0.27,0.52,0.11,0.48,0.07,0.14,0.29,0.44,0.27,0.18,-0.23,0.56,-0.15,0.11,-0.42,0.02,0.26,0.17,0.52,0.2
ACTA1,-2.4,-0.99,-0.47,-0.22,-0.62,-1.08,3.55,-0.09,-1.52,0.07,-0.93,-0.91,-0.51,-1.14,-1.53,-2.15,6.45,-0.3,-0.83,-1.32
ACTA2,-2.25,-3.52,-1.56,-1.94,-2.24,-0.68,-2.89,-0.8,-1.5,-1.19,-2.6,0.19,-1.51,-0.9,-1.53,-3.84,-0.49,-2.58,-1.09,-1.37
ACTB,0.41,-0.12,-0.32,-0.21,0.45,-0.33,-0.36,-0.3,-0.03,0.18,-0.18,1.29,-0.33,-0.46,0.1,-0.33,-0.27,-0.23,-0.43,0.31
ACTBL2,0.26,0.68,-0.22,0.13,-0.16,-0.15,0.23,0.12,-0.03,0.09,0.18,0.7,0.22,-0.3,0.06,0.02,-0.19,0.49,-0.21,-0.16
ACTG1,-1.56,-0.74,-1.61,-2.39,-0.77,-1.13,-1.6,-1.29,-1.77,-1.29,-1.54,-1.95,-1.26,-1.69,-1.66,0.59,-1.84,-2.73,-0.95,-1.18
ACTG2,-1.5,-2.23,-1.72,-1.43,-3.48,-1.02,-1.75,-0.32,-2.41,-0.36,-2.3,-0.15,-2.39,-1.67,-2.55,-1.76,-0.07,-1.97,-1.32,-1.64
ACTL6A,0.25,0.37,-0.02,0.21,-0.03,0.07,0.22,-0.02,-0.21,0.24,-0.07,-0.09,-0.02,-0.15,-0.48,0.06,-0.18,0.01,0.25,-0.12
ACTN1,-0.89,-1.07,-1.28,-0.49,-1.48,-1.07,-1.2,-0.08,-1.17,-0.28,-1.48,0.16,-1.19,-0.81,-1.32,-0.88,-0.56,-0.87,-0.92,-0.23
ACTN2,0.09,0.29,-0.8,-0.39,-0.08,-0.72,-0.26,0.43,-0.35,-0.1,-0.09,0.46,NA,-0.25,-0.41,-0.41,-0.76,-0.73,0.08,0.18
ACTN3,NA,NA,-0.25,1.05,0.61,-0.55,0.06,NA,0.31,-0.53,-0.38,2.8,0.24,-0.09,-0.3,NA,0.11,0.08,0.28,-0.32
ACTN4,-0.79,-0.6,-0.91,-0.55,-0.5,-0.7,-0.83,-0.26,-0.79,-0.33,-0.61,-0.24,-0.77,-0.74,-0.6,-0.45,-0.59,-0.73,-0.61,-0.29
ACTR10,-0.03,-0.32,-0.06,-0.16,0.22,-0.02,0.03,0.03,0.13,0.07,0.11,0.07,-0.11,-0.07,0.13,-0.19,0.06,-0.05,-0.18,-0.06
ACTR1A,-0.57,0.26,0.04,-0.04,0.1,-0.14,-0.21,-0.34,-0.24,0.14,0.18,0.29,-0.38,-0.27,-0.03,0,-0.15,-0.26,-0.3,0.01
ACTR1B,-0.03,0.06,0.2,0,0.59,0.33,-0.3,0.04,-0.26,0.24,-0.49,0.4,0.05,-0.11,-0.1,0.04,-0.12,-0.19,0.11,-0.06
ACTR2,-0.2,-0.05,-0.26,-0.34,0.05,-0.18,-0.27,-0.28,-0.09,-0.04,0.03,-0.43,-0.32,-0.38,-0.01,-0.18,0,-0.11,-0.38,-0.1
ACTR3,-0.28,-0.28,-0.5,-0.35,0.3,-0.1,-0.24,-0.19,0.1,0.07,0.13,-0.73,-0.27,-0.23,0.35,-0.18,0,-0.01,-0.42,0
ACTR3B,0.01,-0.13,0.54,0.42,-0.62,-0.55,-0.23,-0.17,-0.49,-0.55,-0.33,-0.36,0.56,0.64,-0.25,-0.09,-0.39,-0.08,-0.14,-0.47
ACTR5,0.42,0.04,-0.34,0.26,-0.06,0.22,0.19,0.2,0.16,-0.04,0.12,0.6,0.02,0.09,0.01,0.08,0.15,0.16,0.18,0.3
