,blcdb9-I,263d3f-I,c4155b-C
ACOX2,2.44,1.31,1.27
ACOX3,0.41,-0.3,-0.04
ACP1,1.2,0.29,0.88
ACP2,1.53,0.32,0.29
ACP5,1.54,1.16,0.64
ACP6,1.54,0.15,0.56
ACPP,NA,NA,NA
ACSF2,0.76,-0.08,0.36
ACSF3,-1.4,-0.22,-0.12
ACSL1,2.07,0.79,2.14
ACSL3,-0.18,-0.53,-0.27
ACSL4,1.02,0.2,0.93
ACSL5,0.28,0.14,0.54
ACSM1,-0.66,-0.55,-0.37
ACSM3,-3.46,-0.4,-0.82
ACSS1,0.55,-0.32,-0.17
ACSS2,0.63,0.25,1.12
ACSS3,2.63,0.17,0.91
ACTA1,2.52,1.05,1.96
ACTA2,0.11,0.35,0.97
ACTB,1.22,0.29,0.53
ACTBL2,1.03,0.21,0.4
ACTG1,0.03,-0.24,-0.04
ACTG2,0.35,0.07,0.87
ACTL6A,0.46,0.02,-0.05
ACTL6B,NA,NA,NA
ACTL8,0.16,-0.39,0.06
ACTN1,-0.12,-0.43,-0.3
ACTN2,NA,NA,NA
ACTN3,-0.84,-0.37,-1.27
ACTN4,0.23,-0.21,-0.32
ACTR10,0.59,0,0.08
ACTR1A,1.76,0.32,0.46
ACTR1B,2.12,0.67,0.81
ACTR2,0.26,-0.06,-0.06
ACTR3,-0.49,-0.37,-0.31
ACTR3B,0.48,0.09,0.06
ACTR5,1.11,0.37,0.43
ACTR6,0.52,0.22,0.22
ACTR8,-1.55,0.14,-0.15
ACVR1,0.04,-0.43,-0.02
ACY1,0.71,0.27,0.56
ACY3,NA,NA,NA
ACYP1,1.53,0.09,0.49
ACYP2,0.19,-0.29,0
ADA,0.43,0.19,0.67
ADA2,0.38,0.84,0.28
ADAL,0.31,-0.36,0.5
ADAM10,-0.62,0.26,-0.1
ADAM12,-0.03,0.17,0.41
ADAM15,-2.46,-0.69,-0.75
ADAM17,-0.68,0.19,-0.44
ADAM8,NA,NA,NA
ADAM9,-0.92,-0.17,-0.12
ADAMDEC1,NA,NA,NA
ADAMTS1,NA,NA,NA
ADAMTS12,0.09,0.54,0.95
ADAMTS14,NA,NA,NA
ADAMTS15,NA,NA,NA
ADAMTS16,NA,NA,NA
ADAMTS2,NA,NA,NA
ADAMTS4,-0.34,-0.09,-0.03
ADAMTS5,-2.63,0.24,0.21
ADAMTS7,NA,NA,NA
ADAMTSL1,1.25,1.99,2.69
ADAMTSL2,-2.12,-0.02,0.02
ADAMTSL4,0.33,0.89,2.02
ADAMTSL5,2.16,1.91,1.92
ADAP1,1.03,0.55,0.51
ADAP2,1.13,0.47,0.48
ADAR,-0.46,-0.43,-0.79
ADARB1,-0.64,0.39,0.36
ADAT1,0.37,0.35,0.37
ADAT2,-1.12,0,0.17
ADAT3,-0.06,0.16,0.21
ADCK1,-1.25,0.82,0.51
ADCK5,1.35,-0.14,0.2
ADCY5,NA,NA,NA
ADCY6,0.93,-0.41,-0.31
ADCY9,-0.3,0.74,0.76
ADD1,1.23,1.04,1.45
ADD2,3.12,1.49,2.91
ADD3,0.57,1.08,1.1
ADGB,2.63,1.34,2.19
ADGRA2,-0.53,0.62,0.75
ADGRE2,0.54,0.41,0.81
ADGRE5,0.78,0.25,0.3
ADGRF5,1.42,1.03,1.47
ADGRG1,-0.51,-0.59,-0.59
ADGRG2,NA,NA,NA
ADGRG3,NA,NA,NA
ADGRG5,-0.73,0.6,0.88
ADGRG6,2.13,2.43,2.42
ADGRL1,-0.89,0.76,1.12
ADGRL2,1.56,1.09,1.69
ADGRL3,NA,NA,NA
ADGRL4,1.59,0.77,1.28
ADH1B,3.28,2.67,3.41
ADH1C,2.42,2.73,2.25
ADH4,NA,NA,NA
ADH5,0.9,0.95,1.43
ADHFE1,2.96,1.57,2.21
ADI1,0.65,-0.18,0.17
ADIPOQ,0.26,0.57,1
ADIPOR1,0.23,NA,-0.71
ADIPOR2,NA,NA,NA
ADIRF,-1.36,0.54,0.65
ADK,1.1,0.3,0.58
ADNP,-1.33,-0.45,-0.81
ADNP2,NA,NA,NA
ADO,-0.27,0.05,0.05
ADPGK,0.29,-0.19,-0.47
ADPRH,-0.17,-0.35,-0.3
ADPRHL2,0.19,-0.18,-0.02
ADPRM,1.76,1.16,1.65
ADRM1,0.57,-0.46,-0.39
ADSL,0.85,-0.01,0.76
ADSS,0.12,-0.62,-0.51
ADSSL1,-0.33,0.11,0.51
AEBP1,-1.26,-0.38,-0.35
AEBP2,NA,NA,NA
AES,0.94,-0.13,-0.05
AFAP1,-0.33,0.05,0.18
AFAP1L1,0.15,1.15,1.72
AFAP1L2,-0.58,-0.11,0.21
AFDN,-0.1,-0.45,-0.08
AFF1,-0.35,-0.03,-0.28
AFF3,-3.36,-1.14,-1.78
AFF4,-0.34,-0.01,-0.3
AFG1L,1.99,0.36,0.83
AFG3L2,-0.6,-0.68,-0.67
AFM,2.15,1.68,2.99
AFMID,-1.35,-0.38,-0.43
AFTPH,-0.81,-0.07,-0.46
AGA,3.61,0.87,0.94
AGAP1,2.18,1.48,1.92
AGAP11,-1.92,0.96,1.85
AGAP2,NA,NA,NA
AGAP3,-0.7,-0.02,-0.11
AGFG1,0.36,0.1,0
AGFG2,0.61,0.94,0.71
AGGF1,-0.68,-0.58,0.18
AGK,0.78,0.01,0.01
AGL,-0.15,-0.31,-0.36
AGMAT,0.09,0.2,-0.1
AGO1,0.75,0.55,0.6
AGO2,0.87,0.15,0.87
AGO3,0.71,0.48,0.81
AGO4,0.91,0.88,1.07
AGPAT1,-1.65,-0.6,-0.57
AGPAT2,-0.38,0.94,1.73
AGPAT3,-1.83,-1.04,-0.83
AGPAT4,NA,NA,NA
AGPAT5,-0.73,-0.31,-0.19
AGPS,0.59,-0.19,-0.2
AGR2,-0.3,-0.5,-1.2
AGR3,1.13,0.37,-0.78
AGRN,-0.76,0.09,-0.29
AGT,2.12,1.28,2.19
AGTPBP1,-0.75,-0.34,-0.08
AGTRAP,-0.31,-1.6,-1.12
AGXT,NA,NA,NA
AHCTF1,-0.6,-0.01,-0.14
AHCY,-0.58,-0.63,-0.5
AHCYL1,0.61,0.25,0.11
AHCYL2,-0.95,0.17,-0.08
AHDC1,0.13,0.2,0.05
AHI1,2.96,2.9,3.68
AHNAK,1.14,0.79,1.43
AHNAK2,0.3,0.57,0.7
AHR,0.4,0.3,0.51
AHSA1,-0.21,-0.64,-0.62
AHSG,1.67,1.67,2.61
AHSP,3.16,1.92,4.04
AIDA,1.29,0.46,0.89
AIF1,0.04,-0.11,-0.18
AIF1L,-0.26,-0.3,0.19
AIFM1,1.27,-0.12,0.31
AIFM2,2.79,1.33,2.06
AIMP1,0.02,-0.25,-0.21
AIMP2,-0.76,-0.78,-0.85
AIP,0.01,-0.06,-0.17
AJUBA,-0.92,0.07,0.38
AK1,0.83,0.59,1.52
AK2,0.33,-0.28,-0.04
AK3,0.15,0.27,0.88
AK4,0.34,0.31,0.57
AK5,0.67,1.15,1.05
AK6,-0.13,-0.02,0.22
AKAP1,-0.85,-0.21,-0.24
AKAP10,-0.85,-0.07,-0.33
AKAP11,-0.98,-0.28,-0.53
AKAP12,-0.63,0.95,0.97
AKAP13,-0.6,-0.22,-0.15
AKAP17A,-0.69,-0.19,-0.57
AKAP5,NA,NA,NA
AKAP7,1.61,0.83,1
AKAP8,-1.16,-0.48,-1.04
AKAP8L,-0.53,-0.32,-0.45
AKAP9,-0.08,-0.13,-0.54
AKIP1,NA,NA,NA
AKIRIN2,-1.9,-0.11,-0.35
AKNA,NA,NA,NA
AKR1A1,0.24,-0.18,-0.21
AKR1B1,-0.43,0.23,0.37
AKR1B10,-1.26,-1.54,-1.32
AKR1B15,1.79,0.93,1.49
AKR1C1,3.17,1.36,2.98
AKR1C2,3.53,1.65,3.32
AKR1C3,3.14,1.75,2.67
AKR7A2,0.83,0.02,0.36
AKR7A3,-0.55,-1.34,-0.86
AKT1,0.06,-0.09,0.05
AKT1S1,0.09,0.03,-0.03
AKT2,0.72,0.48,0.99
AKT3,0.02,0.3,0.46
AKTIP,2.27,0.8,0.42
ALAD,2.34,1.15,2.03
ALAS1,-0.87,-0.54,-0.62
ALB,1.65,1.86,2.71
ALCAM,-0.48,0.18,-0.3
ALDH16A1,-0.09,0.07,0.25
ALDH18A1,0.43,-0.44,-0.42
ALDH1A1,2.26,1.9,2.39
ALDH1A2,2.57,2.13,2.65
ALDH1A3,-0.44,0.64,-0.06
ALDH1B1,0.44,-0.14,0.48
ALDH1L1,3.21,2,2.93
ALDH1L2,-0.18,-0.04,0.33
ALDH2,2.1,0.74,2.11
ALDH3A1,1.86,1.87,2.52
ALDH3A2,0.43,0.24,0.49
ALDH3B1,NA,NA,NA
ALDH4A1,1.11,0.48,0.99
ALDH5A1,-0.02,0.03,0.14
ALDH6A1,0.93,0.18,0.53
ALDH7A1,1.15,0.05,0.28
ALDH9A1,0.57,0.11,0.62
ALDOA,-0.39,-0.55,-0.31
ALDOB,2.03,0.38,1.2
ALDOC,2.4,0.84,2.52
ALG1,-1.07,-0.54,-0.91
ALG11,-1.28,-0.04,0.05
ALG12,NA,NA,NA
ALG13,0.88,0.32,0.2
ALG14,NA,NA,NA
ALG2,0.36,-0.16,-0.28
ALG5,0.82,-0.17,0.5
ALG6,NA,NA,NA
ALG9,-0.5,-0.97,-0.53
ALKBH1,-0.55,0.44,0.64
ALKBH2,-0.12,0.27,0.33
ALKBH3,-0.38,0.24,0.23
ALKBH4,-0.33,0.35,0.59
ALKBH5,-0.38,0.12,0.01
ALKBH6,-1.02,-0.37,-0.75
ALKBH7,0.99,-0.05,0.18
ALKBH8,-0.46,0.24,-0.02
ALLC,NA,NA,NA
ALMS1,-1.21,-0.07,-0.14
ALOX15,NA,NA,NA
ALOX15B,-0.26,-0.6,-0.18
ALOX5,-0.14,-0.39,-0.31
ALOX5AP,NA,NA,NA
ALPK1,-0.51,-1.53,-1.05
ALPL,-0.3,1.39,0.86
ALS2,1.62,0.51,0.97
ALYREF,-0.01,-0.03,-0.46
AMACR,0.66,0.04,0.13
AMBP,1.84,1.14,2.09
AMBRA1,-1.52,-0.32,-0.13
AMDHD1,1.7,0.55,1.14
AMDHD2,1.11,0.69,0.54
AMER1,NA,NA,NA
AMFR,0.98,0.46,0.92
AMIGO2,0.57,-1.15,0.1
AMMECR1,NA,NA,NA
AMMECR1L,NA,NA,NA
AMN1,1.43,0.23,0.85
AMOT,0.38,0.48,0.42
AMOTL1,1.21,0.85,1.18
AMOTL2,1.03,0.68,0.77
AMPD2,-0.82,0.01,-0.33
AMPD3,-0.98,0.05,-0.19
AMPH,-1.09,-0.48,-0.53
AMT,NA,NA,NA
AMY1A,0.6,1.09,0.76
AMZ2,-0.82,0.3,0
ANAPC1,-0.43,-0.28,-0.14
ANAPC10,1.45,0.4,0.48
ANAPC11,0.56,-0.09,-0.61
ANAPC13,NA,NA,NA
ANAPC16,-1.9,-0.07,-0.42
ANAPC2,0.43,0.16,0.08
ANAPC4,0.73,0.52,0.5
ANAPC5,-1.37,-0.03,-0.01
ANAPC7,-1.38,-0.29,-0.6
ANG,-0.83,0.74,1.34
ANGEL1,0.09,0.25,0.5
ANGEL2,1.16,0.17,0.34
ANGPT2,1.31,-0.78,-0.56
ANGPTL2,-0.04,0.57,1.02
ANGPTL3,NA,NA,NA
ANGPTL4,1.34,0.73,1.27
ANK1,2.65,1.55,3.25
ANK2,1.08,1.3,1.69
ANK3,0.54,0.11,0.06
ANKFY1,0.05,0.18,0.37
ANKHD1,0.03,0.01,-0.12
ANKIB1,-0.85,0.14,0
ANKLE2,-0.98,0.15,-0.23
ANKMY2,0.33,0.63,0.32
ANKRD10,NA,NA,NA
ANKRD11,-0.18,-1.66,NA
ANKRD12,1.54,0.81,0.89
ANKRD13A,0.23,0.49,0.49
ANKRD13C,1.12,0.29,0.84
ANKRD13D,0.28,0.37,-0.1
ANKRD16,0.72,0.21,0.63
ANKRD17,-0.65,-0.15,-0.5
ANKRD20A3,NA,NA,NA
ANKRD22,NA,NA,NA
ANKRD26,0.4,0.14,0.54
ANKRD27,0.36,0.41,0.17
ANKRD28,0.1,-0.1,-0.1
ANKRD30A,-0.91,-0.03,0.76
ANKRD35,-0.53,0.29,0.57
ANKRD36C,NA,NA,NA
ANKRD39,0.11,0.52,0.83
ANKRD40,-2.1,-0.34,-0.26
ANKRD44,-0.98,-0.2,-0.41
ANKRD46,NA,NA,NA
ANKRD49,1.78,0.56,0.14
ANKRD50,-0.64,0.05,-0.15
ANKRD52,1.57,0.63,0.68
ANKRD54,0.28,-0.04,0.51
ANKS1A,-0.45,-0.17,-0.18
ANKS3,-0.77,-1.35,-1.76
ANKUB1,NA,NA,NA
ANKZF1,-0.15,-0.11,0
ANLN,-1.07,-0.75,-0.6
ANO1,0.73,-0.04,-0.28
ANO10,0.46,-0.55,-0.35
ANO6,-0.66,0.31,0.32
ANOS1,0.83,0.6,0.48
ANP32A,-2.07,-0.92,-1.38
ANP32B,-1.08,-0.68,-0.94
ANP32E,0.03,-0.71,-0.55
ANPEP,0.78,1.92,0.6
ANTXR1,-0.68,-0.26,-0.04
ANTXR2,-0.14,0.93,0.96
ANXA1,1.23,0.95,1.62
ANXA11,0.92,0.38,0.43
ANXA2,0.93,0.65,1.02
ANXA3,0.63,0.42,0.38
ANXA4,0.47,0.02,-0.04
ANXA5,1.25,0.21,0.41
ANXA6,0.4,0.04,0.4
ANXA7,0.33,-0.09,0.13
ANXA8,0.14,0.46,0.51
ANXA9,1.68,0.69,0.5
AOAH,NA,NA,NA
AOC1,NA,NA,NA
AOC3,1.81,1.52,2.14
AOX1,1.6,1.83,1.57
AP1AR,-2.58,-0.36,-0.21
AP1B1,0.35,-0.41,-0.21
AP1G1,0.37,-0.35,-0.49
AP1G2,0.39,-0.27,-0.24
AP1M1,0.05,0.11,0
AP1M2,0.91,-0.1,-0.15
AP1S1,0.32,-0.08,-0.82
AP1S2,0.23,0.24,0.39
AP1S3,1.25,-0.54,-0.38
AP2A1,0.05,-0.31,-0.08
AP2A2,0.24,0.04,0.15
AP2B1,0.31,0,0.11
AP2M1,-0.32,0.06,0.1
AP2S1,-0.92,-0.09,-0.28
AP3B1,-0.68,-0.46,-0.43
AP3B2,-0.12,0.23,-0.28
AP3D1,-0.11,-0.67,-0.58
AP3M1,1.28,0.21,0.36
AP3M2,-0.16,-0.54,-0.37
AP3S1,-0.09,-0.6,-0.49
AP3S2,0.45,0.1,0.07
AP4B1,-0.12,0.12,0.06
AP4E1,0.65,0.5,1.01
AP4M1,1.61,0.13,0.25
AP4S1,1.5,0.16,-0.02
AP5B1,0.22,-0.13,0.04
AP5M1,1.94,1.18,1.48
AP5S1,NA,NA,NA
AP5Z1,-0.21,-0.25,-0.04
APAF1,-0.72,0.19,-0.34
APBA1,-0.52,0.12,0.17
APBA2,-1.51,-1.03,-0.9
APBA3,2.3,1.22,2
APBB1,0.06,0.23,0.58
APBB1IP,-0.16,0.37,0.94
APBB2,0.2,0.16,0.12
APC,-1.25,-0.04,-0.35
APCS,1.45,0.77,1.78
APEH,1.72,0.97,1.48
APEX1,-0.98,-0.29,-0.61
APEX2,NA,NA,NA
API5,-0.01,-0.26,-0.44
APIP,1.17,0.22,-0.02
APLF,-1.54,1.05,2.08
APLP2,-0.86,0.04,-0.55
APMAP,1.02,0.18,0.14
APOA1,1.52,1.73,2.65
APOA2,1.61,1.84,3.27
APOA4,1.2,1.44,2.84
APOB,0.99,0.77,2.87
APOBEC3A,0.35,-0.13,1.51
APOBEC3B,-0.06,-0.65,-0.12
APOBEC3C,1.33,0.25,0.55
APOBEC3F,NA,NA,NA
APOBEC3G,-0.23,-0.28,-0.14
APOBR,-0.48,-0.66,-0.56
APOC1,0.84,1.65,2.82
APOC3,2.31,1.48,3.3
APOC4,3.1,1.93,3.45
APOC4-APOC2,1.84,1.48,2.84
APOD,1.97,4.24,1.54
APOE,-0.53,0.34,1.33
APOF,0.81,1.43,2.93
APOH,1.97,1.17,2.1
APOL1,0.77,1.36,1.59
APOL2,-2.2,-1.04,-0.98
APOL3,0.66,-0.85,-0.3
APOM,0.43,1.18,2.67
APOO,-0.5,-0.63,-0.85
APOOL,1.5,0.59,0.84
APP,-1.16,-0.49,-0.69
APPBP2,-0.77,-0.11,-0.38
APPL1,0.15,0.5,0.42
APPL2,0.96,0.56,0.57
APRT,1.28,0.11,0.32
APTX,0.05,0.37,0.14
AQP1,2.37,1.14,2.19
AQR,-0.28,-0.31,-0.3
AR,-0.7,-0.26,-0.34
ARAF,-0.39,-0.3,-0.13
ARAP1,0.72,0.37,0.21
ARAP2,NA,NA,NA
ARAP3,0.84,0.54,0.64
ARCN1,-0.75,-0.44,-0.48
AREG,NA,NA,NA
ARF1,0.54,-0.4,0.05
ARF3,0.68,-0.85,-0.56
ARF4,0.01,-1.09,-0.98
ARF5,0.54,-0.49,-0.33
ARF6,0.7,-0.36,-0.48
ARFGAP1,-0.36,-0.46,-0.38
ARFGAP2,-0.22,-0.04,-0.37
ARFGAP3,0.07,-0.63,-0.51
ARFGEF1,-0.57,-0.48,-0.78
ARFGEF2,-0.33,-0.75,-0.4
ARFGEF3,-0.23,-0.43,-0.35
ARFIP1,0.5,0.18,-0.11
ARFIP2,0.7,0.75,-0.26
ARFRP1,-0.22,-0.36,-0.15
ARG1,2.91,1.06,2.8
ARG2,NA,NA,NA
ARGLU1,-2.24,-0.71,-0.75
ARHGAP1,0.22,-0.19,-0.04
ARHGAP10,0.95,0.88,1.02
ARHGAP12,-0.09,0.15,0.04
ARHGAP15,-0.32,0.23,0.5
ARHGAP17,0.17,0.38,0.35
ARHGAP18,-0.9,0.17,0
ARHGAP21,-0.34,0.16,0.18
ARHGAP22,NA,NA,NA
ARHGAP23,-1.27,0.22,0.24
ARHGAP24,2.02,1.37,1.75
ARHGAP25,-0.78,-0.22,-0.32
ARHGAP26,-0.61,0.02,0.06
ARHGAP27,0.2,0.02,-0.04
ARHGAP29,0.88,0.42,0.64
ARHGAP30,-1.37,-0.39,-0.46
ARHGAP31,-0.12,0.4,0.42
ARHGAP32,0.72,0.61,0.21
ARHGAP35,-0.02,-0.22,-0.18
ARHGAP36,NA,NA,NA
ARHGAP39,-1.94,0.29,0.24
ARHGAP4,-0.98,-0.12,-0.09
ARHGAP42,NA,NA,NA
ARHGAP44,NA,NA,NA
ARHGAP45,-0.58,-0.09,-0.19
ARHGAP5,0.6,0.3,0.36
ARHGAP6,2.08,0.96,1.35
ARHGAP9,0.02,0.37,0.61
ARHGDIA,0.16,-0.34,-0.1
ARHGDIB,-0.42,-0.32,-0.4
ARHGEF1,-0.31,-0.28,-0.28
ARHGEF10,-0.1,0.03,0.39
ARHGEF10L,0.48,-0.01,0.25
ARHGEF11,-0.22,0,0.11
ARHGEF12,0.45,0.33,0.56
ARHGEF15,NA,NA,NA
ARHGEF16,0.55,0.1,-0.06
ARHGEF17,-0.46,0.09,0.06
ARHGEF18,0.41,0.15,0.11
ARHGEF19,NA,NA,NA
ARHGEF2,-0.77,-0.36,-0.32
ARHGEF26,-2.7,-0.36,-0.43
ARHGEF28,1.1,0.11,-0.04
ARHGEF3,2.41,0.85,1.76
ARHGEF35,-2.52,-1.84,-1.03
ARHGEF37,0.94,0.6,0.81
ARHGEF38,NA,NA,NA
ARHGEF39,1.45,0.31,0.47
ARHGEF40,0.22,0.2,0.1
ARHGEF5,-0.76,-0.14,-0.25
ARHGEF6,-0.81,-0.01,-0.07
ARHGEF7,-0.53,-0.14,0.02
ARID1A,-0.56,-0.02,-0.5
ARID1B,-0.74,-0.23,-0.23
ARID2,-0.34,0.05,-0.41
ARID3A,NA,NA,NA
ARID4A,-0.35,0.54,0.44
ARID4B,-2.02,-0.49,-0.67
ARID5A,NA,NA,NA
ARID5B,0.4,0.93,0.87
ARIH1,-1.2,-0.44,-0.65
ARIH2,-0.91,-0.05,-0.01
ARL1,0.82,-0.3,-0.63
ARL11,NA,NA,NA
ARL14EP,1.38,0.54,0.41
ARL15,0.14,0.13,0.17
ARL2,1.27,0.19,0.58
ARL2BP,-0.95,-0.3,0.07
ARL3,2.04,0.34,0.37
ARL4C,NA,NA,NA
ARL5A,0.7,-0.22,-0.67
ARL5B,-0.2,-0.28,-0.35
ARL6,1.85,0.55,0.87
ARL6IP1,-3.01,-1,-0.89
ARL6IP4,0.86,0.18,-0.22
ARL6IP5,0.39,-0.1,0.33
ARL6IP6,NA,NA,NA
ARL8A,-1.39,-0.11,-0.28
ARL8B,0.22,0.11,0.56
ARMC1,1.04,0.19,0.62
ARMC10,1.44,0.21,0.32
ARMC5,NA,NA,NA
ARMC6,0.48,-0.24,0.01
ARMC7,NA,NA,NA
ARMC8,-0.07,-0.53,-0.4
ARMC9,0.75,0.14,0.21
ARMCX1,0.04,-0.01,0.29
ARMCX2,-0.03,0.2,0.33
ARMCX3,-0.16,-0.39,-0.44
ARMCX5,1.46,0.76,0.48
ARMT1,0.18,0.02,-0.73
ARNT,0.83,0.34,0.29
ARNT2,NA,NA,NA
ARNTL,-0.91,1.08,-0.18
ARPC1A,-0.13,-0.07,0.19
ARPC1B,-0.49,-0.29,-0.43
ARPC2,-0.5,-0.2,-0.32
ARPC3,-0.87,-0.26,-0.21
ARPC4,0.36,-0.08,-0.03
ARPC5,-1.04,-0.57,-0.84
ARPC5L,0.96,0.08,0
ARPIN,-0.99,0.16,0.35
ARPP19,-0.62,-1.09,-0.99
ARRB1,0.69,0.63,0.49
ARRB2,0.54,0.2,0.27
ARRDC1,0.21,0.47,-0.09
ARSA,2.35,0.63,0.64
ARSB,0.59,0.57,0.75
ARSD,-1.31,-0.41,-0.16
ARSE,NA,NA,NA
ART3,NA,NA,NA
ARV1,-0.12,0.07,0.68
ARVCF,0.82,0.22,0.04
AS3MT,-0.54,0.09,-0.06
ASAH1,1.79,0.54,0.23
ASAP1,0.35,0.21,0.44
ASAP2,0.43,0.4,0.62
ASAP3,0.51,0.21,0.16
ASB1,NA,NA,NA
ASB13,-1.08,-0.32,-0.52
ASB3,NA,NA,NA
ASB6,2.49,0.76,1.1
ASB7,-0.21,0.72,0.8
ASB9,1.72,0.96,1.34
ASCC1,0.12,0.18,0.14
ASCC2,0.37,-0.17,0.18
ASCC3,-0.24,-0.22,-0.05
ASF1A,-1.1,-0.85,-0.83
ASF1B,0.26,-0.24,-0.38
ASGR2,2.09,1.13,2.94
ASH1L,-3.06,1.43,-0.44
ASH2L,-0.43,-0.15,-0.37
ASL,0.49,0.08,0.25
ASMTL,0.04,-0.12,0.04
ASNA1,1.14,-0.24,0.13
ASNS,-0.07,-0.54,-0.57
ASNSD1,NA,NA,NA
ASPA,2.06,1.39,2.62
ASPH,0.3,0.13,0.83
ASPM,3.95,3.31,3.94
ASPN,0.52,1.27,1.06
ASPRV1,-0.86,0.25,0.2
ASPSCR1,0.11,-0.15,0.12
ASRGL1,0.1,0.26,0.37
ASS1,0.6,-0.15,0.66
ASTE1,NA,NA,NA
ASXL1,1.6,0.27,0.99
ASXL2,-0.92,-0.14,-0.11
ATAD1,0.22,0.01,-0.07
ATAD2,-0.37,-0.6,-0.56
ATAD2B,0.48,0.29,0.74
ATAD3A,1.12,-0.03,0
ATAD3B,2.45,-0.96,4.15
ATAT1,-0.07,0.31,0.42
ATE1,-0.2,-0.05,-0.11
ATF1,1.29,0.44,0.72
ATF2,-0.73,0.58,0.57
ATF3,NA,NA,NA
ATF6B,NA,NA,NA
ATF7,0.29,0.81,0.75
ATF7IP,0.48,0.06,0.04
ATG101,1.19,-0.1,0.06
ATG12,-3.18,-0.28,-0.23
ATG13,-0.79,0.13,-0.03
