,C3N-00439,C3L-01955,C3L-01962,C3N-02818,C3N-01803,C3N-00243,C3N-02261,C3N-01903,C3N-00496,C3N-03021,C3L-01279,C3N-01650,C3L-01865,C3L-02212,C3N-01653,C3N-02440,C3N-00958,C3N-01652,C3L-02210
ABCC4,0.71,0.23,0.44,0.24,0.14,0.04,0,0.4,-0.29,-0.06,-0.27,0,0.22,-0.25,-0.08,0.5,0.43,0.43,-0.06
ABCC6,0.86,1.35,0.46,1.14,-0.13,1.03,0.64,1.48,0.38,0.76,0,0.21,1.07,0.79,0.12,0.96,0.89,0.84,-1.03
ABCD1,-0.17,-0.11,-0.17,-0.02,-0.31,-0.06,0.11,-0.17,-0.37,-0.36,-0.47,-0.34,-0.29,-0.5,-0.19,-0.11,0.13,0.09,-0.22
ABCD3,1.01,0.85,1.16,0.72,0.58,0.98,0.8,0.99,0.31,0.62,0.08,-0.68,0.68,0.83,0.11,0.91,1.02,1.07,-0.44
ABCD4,0.54,0.98,0.35,0.45,0.23,1.21,0.19,0.66,0.17,0.58,-0.13,NA,0.51,0.36,NA,0.46,0.31,0.08,0.13
ABCE1,-0.27,-0.07,-0.12,-0.12,0.12,-0.1,-0.05,-0.37,-0.12,-0.21,-0.07,-0.09,-0.18,-0.07,-0.29,-0.22,-0.13,-0.14,0.11
ABCF1,0.02,-0.08,-0.03,0.05,0.27,-0.01,0.08,-0.11,-0.01,-0.18,0.07,0.13,-0.05,-0.24,0.04,0.06,0.08,-0.05,0.13
ABCF2,-0.2,-0.14,-0.09,0.06,0.21,-0.02,-0.19,-0.12,-0.11,-0.24,0.14,0.14,0.05,-0.17,0.05,0,-0.11,-0.21,0.1
ABCF3,0.31,0.29,0.14,0.06,0.01,0.1,0.09,0.24,0.14,0.21,0.05,-0.04,0.17,0.07,0,0.18,0.17,0.03,-0.18
ABCG1,0.19,-1.28,-1.68,-0.93,0.85,-0.59,-0.64,-1,-0.05,-0.08,-1.18,-0.67,-0.72,-1.21,-0.34,-0.14,-0.09,-0.86,-0.42
ABHD10,0.76,0.43,0.29,0.27,-0.14,0.61,0.41,0.92,0.33,0.38,0.16,-0.97,0.6,0.44,-0.09,0.53,0.39,0.75,-0.89
ABHD11,0.29,0.37,0.18,0.01,-0.02,-0.08,0.17,0.61,0.28,0.01,0.21,-0.19,0.48,0.26,0.49,0.25,0.13,0.15,-0.29
ABHD12,-0.02,-0.52,-0.23,-0.43,0.03,-0.37,-0.28,0.08,-0.42,-0.03,-0.4,0.1,-0.12,-0.24,0.07,0.1,-0.5,-0.28,-0.06
ABHD14B,0.5,0.46,0.59,-0.57,-0.21,0.59,0.45,0.65,0.24,0.47,0.17,-0.26,0.43,0.42,0.11,0.57,-0.11,0.48,-0.3
ABHD16A,0.24,0.38,0.16,0.24,0.39,0.21,0.14,0.45,0.18,0.12,-0.07,-0.03,0.14,0.27,0.19,0.39,0.57,0.07,-0.02
ABHD17B,0.34,0.54,NA,-0.63,-0.39,0.03,-0.17,-0.75,0.07,0.44,NA,-0.12,NA,0.04,-0.29,-0.24,0.34,-0.14,-0.3
ABHD4,0.15,-0.03,-0.06,-0.14,-0.13,0.3,0.22,-0.17,0.11,0.03,-0.1,-0.16,-0.23,0.13,0.18,-0.17,-0.04,-0.05,-0.24
ABHD6,0.68,0.9,0.45,0.42,-0.3,0.82,0.39,0.74,0.17,0.4,-0.05,-0.77,0.33,0.92,-0.33,0.58,0.91,0.67,-0.87
ABI1,-0.34,-0.19,0.34,-0.37,-0.2,-0.37,-0.13,-0.26,0.04,-0.38,0.06,0.3,-0.21,-0.22,0.07,-0.32,-0.38,-0.36,0.06
ABI2,0.14,0.34,-0.02,0.03,-0.28,0.44,0.35,0.01,0.25,0.03,0.44,0.29,0.1,0.09,0.29,-0.01,-0.02,0.23,0.15
ABI3,-0.56,-0.73,-0.82,-0.71,-0.22,-0.42,-0.11,-0.65,-0.51,-0.56,-0.41,-0.05,-0.65,-0.48,-0.23,-0.59,-0.87,-0.58,-0.22
ABI3BP,-0.93,-0.71,-0.49,-0.14,-0.34,-0.73,-0.84,-0.58,-0.52,-0.55,0.19,0.73,-0.51,0.07,-0.23,-0.49,-0.65,-1.05,1.06
ABL1,0.02,0.39,0,0.21,0.13,0.47,0.64,0.48,0.08,-0.16,0.13,0.13,0.2,0.21,0.19,0.47,0.17,0.69,0.29
ABLIM1,0.35,0.28,0.11,0.06,0.38,0.29,0.32,0.08,0.25,0.19,0.38,0.28,0.2,0.3,0.58,0.31,0.17,0.05,0.04
ABLIM2,NA,0.41,0.01,0.37,0.12,0.27,0.29,0.05,NA,NA,0.37,0.8,0.16,0.55,-0.42,0.07,0.17,0.66,0.78
ABLIM3,-0.22,-0.29,-0.39,-0.4,-0.96,-0.38,-0.37,-0.23,-0.51,-0.35,-0.77,-0.4,-0.25,-0.4,-0.73,-0.4,0,-0.05,-1.17
ABR,-0.29,-0.56,-0.12,0.06,-0.01,-0.51,-0.52,-0.27,-0.12,-0.26,-0.11,0.28,-0.45,-0.3,-0.15,-0.44,-0.35,-0.52,0.19
ABRACL,0.13,-0.47,0.39,0.07,-0.39,-0.11,-0.13,-0.32,0.22,0.13,-0.17,-0.18,-0.18,-0.19,-0.87,0.04,0.26,0,0.15
ABRAXAS1,-0.15,-0.26,-0.33,-0.13,-0.61,-0.67,-0.18,-0.72,-0.35,-0.17,0.2,0.48,-0.34,0.02,0.23,-0.18,-0.24,-0.31,0.45
ABRAXAS2,0.15,0.05,0.04,0.08,-0.3,0.09,0.2,0.14,0.03,0.15,0.07,0.01,0.03,-0.02,0.09,0.15,-0.08,0.11,-0.08
ABTB1,0.43,NA,0.49,NA,NA,0.3,0.36,NA,0.62,0.78,0.09,-0.18,0,NA,-0.42,NA,NA,0.9,NA
ABTB2,0.22,-0.12,0.43,0.6,-0.37,-0.84,-0.11,0.62,0.29,0.52,0.06,-0.01,0.15,0.24,-0.06,0.34,0.22,-1.02,1.01
ACAA1,0.96,0.7,0.74,0.62,0.04,1.09,0.71,1.04,0.25,0.32,0.35,-1.27,0.52,0.61,-0.31,0.63,0.84,1.07,-1.01
ACAA2,0.8,0.46,0.5,0.13,0.28,0.73,0.25,0.57,0.35,0.36,-0.03,-1.26,0.65,0.33,-0.34,0.25,0.59,0.69,-1.1
ACACA,-0.19,-0.37,-0.19,-0.29,-0.03,-0.21,-0.22,-0.26,0.01,-0.2,-0.19,-0.25,-0.28,-0.36,0.34,-0.39,-0.22,-0.41,-0.2
ACACB,-0.1,-0.45,-0.1,-0.01,-0.53,NA,NA,0.02,-0.15,-0.31,0.07,0.15,-0.03,-0.12,0.35,-0.55,-0.08,NA,-0.33
ACAD10,1.1,1.12,0.62,0.42,-0.23,1.1,0.78,0.98,0.84,0.64,0.41,-0.82,1.05,0.17,-0.02,0.57,0.64,1.06,-0.89
ACAD11,0.51,0.29,0.43,0.23,-1.02,0.49,-0.65,0.39,-0.04,0.14,-0.13,-1.76,-0.32,0.05,-0.83,0.35,0.44,0.47,-2.08
ACAD8,0.89,0.85,0.32,0.41,-0.03,0.8,0.63,0.83,0.69,0.52,0.06,-0.84,0.67,0.66,0.26,0.47,0.47,0.87,-0.7
ACAD9,0.42,0.66,0.5,0.4,0.05,0.25,0.18,0.42,0.51,0.45,0.25,-0.41,0.51,0.28,0.28,0.38,0.42,0.37,-0.42
ACADL,-1.5,0.73,0.87,-0.06,0.28,0.56,0.15,1.26,0.04,0.09,0.54,-1.26,0.39,0.81,-2.08,0.7,0.47,0.29,-1.7
ACADM,0.87,0.76,0.86,0.44,0.12,1.1,0.68,1.09,0.82,0.39,0.17,-1.39,0.72,0.72,0.3,0.69,1.08,0.74,-1.11
ACADS,0.41,0.45,0.13,0.04,-0.04,0.29,0.19,0.55,0.45,-0.05,-0.09,-0.77,0.53,0.36,-0.12,0.24,0.32,0.32,-0.68
ACADSB,1,0.4,1.04,0.34,-0.67,0.91,0.66,0.82,0.91,0.56,0.16,-1.35,0.55,0.6,-0.06,0.44,0.63,0.77,-1.58
ACADVL,0.41,0.36,0.47,0.14,0.34,0.44,0.05,0.29,0.32,0.31,0.17,-0.4,0.46,0.43,0,0.23,0.52,0.47,-0.45
ACAN,-0.73,-0.63,-0.57,0.18,0.27,-0.43,-1.59,0.39,0.39,-0.62,0.05,-0.28,0.29,0.26,-1.28,0.38,-1.65,-1.13,-0.38
ACAP1,-0.52,0.7,0.01,0,-0.03,-0.43,-0.62,0.53,-0.32,-0.41,-0.42,0.67,0.06,0.41,-0.77,0.02,-0.34,-0.51,-0.01
ACAP2,-0.25,-0.2,-0.11,0.05,0.03,-0.06,-0.14,-0.27,-0.12,-0.08,-0.08,0.42,-0.23,0.03,-0.1,-0.24,-0.19,-0.03,0.37
ACAP3,-0.3,NA,NA,-0.07,0.48,NA,NA,0.04,-0.55,-0.61,NA,0.03,NA,NA,0.09,-0.11,-0.11,NA,NA
ACAT1,0.57,0.54,0.51,0.04,-0.17,0.58,0.49,0.8,0.44,0.3,0,-1.03,0.57,0.32,0.1,0.36,0.34,0.66,-1
ACAT2,0.1,0.09,0.06,-0.25,-0.11,0.26,0.39,0.21,0.1,0.01,0.07,-0.41,-0.15,0.19,-0.05,0.06,-0.01,0.33,-0.37
ACBD3,-0.18,-0.21,-0.11,-0.09,0.08,-0.17,-0.23,-0.08,-0.08,-0.18,-0.05,-0.01,-0.07,-0.07,-0.08,-0.08,-0.18,-0.18,-0.24
ACBD5,0.24,0.47,0.75,0.19,-0.19,0.32,0.55,0.67,-0.01,-0.01,-0.12,-0.69,0.24,0.58,0.19,0.37,0.46,0.49,-0.53
ACBD6,-0.42,0.18,-0.23,-0.13,-0.12,-0.14,-0.18,-0.45,-0.44,-0.46,-0.06,-0.17,0.01,0.02,-0.46,-0.32,-0.04,-0.3,0.16
ACE,1.25,1.35,1.63,0.95,0.41,1.37,1.13,2.18,0.84,1.33,0.17,-1.76,1.87,2.11,0.56,1.11,1.08,1.51,-1.92
ACE2,0.69,0.8,0.61,0.17,-0.11,0.84,1.15,0.98,1.03,0.71,0.17,-1.97,1.06,0.79,-0.08,1.11,0.87,0.7,-0.72
ACIN1,-0.12,-0.05,-0.03,0.13,0.34,-0.14,-0.02,-0.02,-0.08,0,0.13,0.52,-0.12,-0.06,0.23,0.12,-0.17,-0.09,0.42
ACLY,-0.7,-1.04,-1.09,-1.19,-0.67,-0.93,-1.15,-1.08,-0.88,-0.72,-1.2,-1.07,-1.03,-1.01,-1.25,-0.68,0.18,-0.89,-1.2
ACMSD,1.49,0.87,0.55,0.51,-0.66,1.01,0.85,0.64,0.71,0.24,0.01,-2.27,0.7,1.15,-0.46,0.9,0.13,1.15,-2.05
ACO1,0.88,0.59,0.72,0.4,-0.41,0.75,0.69,0.97,0.74,0.63,0.12,-0.74,0.65,0.35,-0.2,0.46,0.54,1.01,-0.71
ACO2,0.61,0.45,0.56,0.1,-0.38,0.46,0.38,0.59,0.54,0.12,0.08,-1.02,0.6,0.29,0.12,0.05,0.41,0.54,-0.97
ACOT1,0.52,1.06,0.55,0.44,-0.52,0.86,0.33,0.93,0.49,0.53,0.05,-0.99,1.19,0.39,-0.29,0.57,1.01,0.95,-0.56
ACOT11,0.28,0.52,0.47,0.18,-0.29,0.44,0.63,0.33,0.7,-0.03,0.3,-0.16,0.39,0.02,0.77,0.42,0.73,0.54,-0.4
ACOT13,0.9,0.76,0.57,0.11,-0.46,0.67,0.49,0.76,0.6,0.42,0.16,-1.88,0.68,0.5,-0.11,0.45,0.51,0.76,-1.12
ACOT4,0.58,0.72,0.69,0.07,0.14,0.05,0.54,1.14,-0.74,0.28,0.71,-0.74,0.73,-0.02,-0.31,0.82,0.54,0.83,-0.8
ACOT7,0.64,0.87,0.03,-0.07,-0.16,0.75,0.64,0.58,0.42,0.19,-0.31,-0.77,0.53,-0.2,-0.3,0.18,0.83,0.46,-0.66
ACOT8,0.59,0.39,0.31,0.45,-0.16,0.59,0.44,0.72,0.2,0.24,0,-1.07,0.24,0.28,-0.04,0.51,0.41,0.58,-0.57
ACOT9,0.22,0.29,0.01,-0.13,0.31,0.31,0.19,0.18,0.3,0.13,0,-0.04,0.3,0.26,0.24,0.12,0.17,0.38,0.26
ACOX1,0.86,0.7,1.05,0.69,-0.19,1.02,0.77,0.78,0.41,0.67,0.32,-0.9,1.24,0.81,-0.61,0.82,1.08,1.07,-1.15
ACOX2,1.27,1.13,1.09,1.01,-0.6,1.61,1.04,1.19,0.54,0.93,0.49,-1.53,0.91,1,-0.47,0.96,1.36,1.34,-1.26
ACOX3,0.59,0.33,0.19,0.28,0.1,0.33,0.09,0.56,-0.05,0.12,-0.02,-1.01,0.07,0.27,-0.05,0.43,0.56,0.2,-0.58
ACP1,0,0.08,-0.22,0.13,-0.13,-0.05,-0.14,0.42,0,-0.22,-0.1,-0.45,0.17,-0.01,-0.1,-0.01,0.1,0.01,-0.43
ACP2,0.01,0.43,0.8,0.49,0.05,0.46,0.25,0.44,0.12,0.07,0.05,0.46,-0.41,0.23,-0.11,0.11,0.22,0.46,-0.04
ACP3,0.88,1.14,0.05,0.13,-0.15,0.73,0.9,0.74,1.49,0.87,1.2,1.61,0.66,1.62,0.18,0.24,0.32,0.1,0.34
ACP5,0.17,0.4,0.42,-0.05,-0.9,-0.18,-0.05,0.12,0.02,-0.22,-0.29,-0.27,0.2,-0.12,-0.02,0.26,0.06,-0.19,-0.99
ACP6,0.67,0.68,0.66,0.37,0.44,-0.46,0.33,0.97,0.88,0.6,0.47,-1.29,0.79,0.51,-0.12,0.55,0.81,0.98,-0.25
ACRBP,0.95,NA,-1.01,-0.17,NA,NA,NA,-0.1,0.22,-0.19,-0.59,-0.47,-0.49,NA,-0.43,-0.33,NA,NA,NA
ACSF2,1.23,0.92,1.26,0.64,-0.31,1.05,0.8,1.41,0.6,0.89,0.28,-1.52,1.02,0.83,-0.2,0.76,0.95,1.5,-1.3
ACSF3,0.69,0.83,0.79,0.29,-0.11,0.52,0.2,0.74,0.42,0.41,0.13,-0.64,0.76,0.43,0.24,0.65,0.44,0.42,-0.34
ACSL1,0.6,0.24,0.27,0.32,0.41,0.37,0.2,0.56,0.27,0.25,0.14,-0.82,0.21,0.19,0.37,0.54,0.53,0.29,-0.68
ACSL3,-0.1,0.04,0.06,-0.18,0.24,-0.25,-0.09,-0.15,-0.1,-0.22,-0.22,0.16,-0.11,0.05,0.07,-0.19,-0.17,-0.34,0.2
ACSL4,0.13,0.59,0.58,0.28,0.66,0.44,0.1,0.17,0.87,-0.05,0.61,0.76,0,0.36,0.24,0.15,0.26,0.1,0.62
ACSL5,-0.55,-0.54,-0.06,-0.48,-0.17,-0.47,-0.6,-0.8,-0.55,-0.33,-0.54,-0.21,-0.71,-0.38,-0.18,-1.1,-0.53,-1.1,0.3
ACSM2A,0.95,0.89,0.72,0.41,-0.43,1.08,0.69,0.96,0.5,0.66,0.22,-2.02,1.49,0.26,-0.86,0.95,0.88,1.04,-1.49
ACSM2B,1.36,1.12,0.87,0.63,-0.32,1.28,0.8,1.12,0.79,0.83,0.23,-1.66,1.11,0.51,-0.55,0.43,0.98,1.38,-1.34
ACSM3,0.87,0.81,0.74,0.3,-0.18,0.85,0.69,0.51,0.76,0.71,0.36,-1.27,1.28,1.44,-0.24,0.81,0.95,1.47,-1.12
ACSM5,0.9,0.83,0.75,0.88,-0.79,1.03,0.33,0.74,0.06,0.59,-0.42,NA,0.29,0.6,NA,0.93,0.22,1.04,-1.34
ACSS1,0.22,0.47,0.35,-0.06,-0.34,0.29,0.48,0.28,0.82,0.06,0.28,-0.7,0.34,0.43,0.59,0.35,0.01,0.16,-0.47
ACSS2,0.32,-0.07,-0.02,0.2,0.19,0.05,0.17,0.14,0.13,0.27,0.3,-0.07,0.05,0.21,0.01,0.1,0.09,0.38,-0.12
ACSS3,0.76,0.56,0.6,0.51,-0.07,0.69,0.33,1.08,0.54,0.4,0.28,-0.79,0.73,0.51,-0.06,0.46,0.4,0.73,-0.68
ACTA1,NA,-0.41,-0.15,-0.06,-0.29,0.06,-0.15,-0.17,NA,NA,0.22,0.07,-0.42,-0.26,0.2,-0.37,-0.03,-0.14,-0.07
ACTA2,-0.45,-0.92,-0.46,-0.42,0.35,-0.61,-0.55,-0.67,-0.27,0,0.49,0.27,-0.26,0.03,0.15,-0.6,-0.19,-0.65,0.46
ACTB,-0.26,-0.09,0.08,NA,0.12,-0.03,-0.14,NA,-0.11,0.1,0.35,0.38,-0.01,-0.13,0.07,NA,-0.27,0.14,0.79
ACTBL2,0.04,-0.03,-0.04,-0.05,-0.03,-0.14,-0.18,0.06,-0.02,-0.15,-0.21,0.1,-0.22,-0.13,0.05,-0.14,-0.22,-0.13,0.16
ACTG1,-0.56,-0.1,0.53,0.68,-0.1,0.76,-0.94,-0.6,-0.21,1.39,-1.41,0.96,-1.15,0.46,0.06,0.17,1.04,-0.61,0.96
ACTL6A,-0.24,-0.36,-0.16,-0.06,0.17,-0.23,-0.15,-0.09,-0.29,-0.29,0.06,0.39,-0.33,-0.32,0.11,0.04,-0.39,-0.28,0.28
ACTN1,-0.42,-0.63,-0.4,0.01,0.35,-0.4,-0.41,-0.74,-0.29,-0.09,0.3,0.48,-0.48,0.01,0.49,-0.54,-0.38,-0.4,0.78
ACTN2,NA,-1.12,-0.68,NA,-0.78,NA,NA,NA,NA,NA,-0.64,0.1,-1.43,-0.41,0.12,NA,-1.33,NA,-0.23
ACTN4,0.35,0.21,0.21,0.31,0.09,0.31,0.15,0.39,0.09,0.35,0.16,0.42,0.28,0.07,-0.04,0.35,0.24,0.44,0.28
ACTR10,-0.06,0,0.13,-0.01,0.02,0.02,0.27,-0.11,-0.04,0.01,0.02,0.07,-0.04,0.01,0.14,-0.04,-0.15,0.06,0.06
ACTR1A,0.22,-0.16,-0.14,-0.22,-0.06,-0.01,0.17,-0.22,0.01,-0.02,-0.03,0.11,-0.08,-0.14,0.08,-0.11,-0.04,0.15,-0.1
ACTR1B,-0.03,0.14,-0.01,-0.19,-0.14,0.09,0.39,-0.09,0.05,-0.23,-0.06,-0.16,0.12,0.04,-0.16,0.01,-0.19,0.02,0.15
ACTR2,-0.1,-0.12,-0.16,0.07,-0.02,-0.13,-0.14,-0.22,-0.11,-0.03,-0.17,0.17,-0.18,-0.19,-0.21,-0.14,-0.06,-0.11,0.11
ACTR3,0.01,-0.08,-0.05,0,-0.01,-0.16,-0.17,-0.26,-0.06,-0.09,-0.06,0.24,-0.16,-0.1,-0.15,-0.09,-0.19,-0.2,0.16
ACTR3B,0.39,0.55,0.48,-0.12,0.15,0.48,0.4,0.2,0.24,0.06,0.51,1.37,0.78,0.57,1.72,-0.04,0.15,0.57,0.21
ACTR5,0.2,-0.03,0.07,0.25,-0.09,0.23,0.26,0.12,0.1,0.1,0.05,0.34,-0.18,-0.33,0.07,0.04,-0.14,0.07,0.22
ACTR6,-0.5,-0.59,0.11,-0.46,-1.21,-0.42,-0.1,-1.15,-0.1,-0.19,0.06,-0.36,-0.18,-0.73,-0.1,-1.18,-0.84,-0.02,0
ACTR8,-0.13,-0.08,0.28,-0.3,-0.23,-0.02,0.19,-0.31,0.09,-0.06,0.24,0.16,0.87,0.19,-0.08,-0.26,0.14,0.08,0.07
ACY1,0.86,-0.13,0.53,0.33,-0.16,1.04,0.61,1.06,0.58,0.78,0.23,-1.41,0.76,1,-0.11,0.68,0.81,0.9,-1.37
ACY3,0.94,0.68,0.34,0.35,-0.42,0.79,0.56,1.1,0.54,0.77,0.44,-1.41,0.76,0.73,-0.47,1.51,0.76,0.94,-1.29
ACYP1,-0.52,-0.77,-0.46,0.02,0.11,-0.24,-0.37,-0.39,-0.16,-0.29,-0.43,0.42,-0.39,-0.31,0.35,0.08,-0.26,-0.37,0.41
ACYP2,-0.36,0.23,0.46,0.1,0,0.23,0.23,0.21,0.31,-0.18,0.57,0.48,0.28,0.55,0.5,-0.08,0.18,0.27,0.25
ADA,-1.15,-1.04,-1.17,-0.6,-0.18,-0.99,-0.99,-1.6,-0.91,-0.88,-0.71,0.29,-1.45,-0.9,-0.65,-1.49,-0.99,-1.11,-0.21
ADA2,-0.82,-1.81,-0.49,-0.43,-0.15,-1.09,-1.16,-1.41,-0.48,-0.59,-0.27,0.24,-0.7,-0.78,-1.44,-1.43,-0.26,-1.19,0.25
ADAL,-0.01,0.26,0.21,-0.07,-0.12,0.23,0.24,0.27,0,-0.05,0.23,-0.38,0.31,0.38,-0.07,0.22,0.19,0.37,-0.18
ADAM10,0.29,0.35,0.37,0.17,0.21,0.39,0.34,0.27,0.63,0.44,0.23,0.33,0.37,0.36,0.71,0.49,0.23,0.39,0.42
ADAM15,1.24,0.12,1.33,0.39,0.77,-0.16,0.03,0.33,1,0.65,0.19,0.35,0.31,0.24,0.61,0.21,0.43,-0.35,0.54
ADAM17,0.29,-0.17,0.74,0.92,0.06,0.3,0.44,0.56,0.38,0.11,0.47,0.16,0.88,-0.18,0,0.9,0.01,0.26,0.1
ADAM9,0.1,-0.25,0.26,-0.04,0.01,-0.11,-0.32,-0.06,-0.11,-0.15,-0.28,0.17,0.14,0.06,-0.25,-0.05,-0.13,0.08,-0.05
ADAMTSL1,-0.88,0.3,1.02,0.05,0.16,-0.04,0.22,0.41,-0.43,-1.75,0.82,0.76,0.46,0.67,0.12,0.01,0.27,0.67,0.12
ADAMTSL2,1.29,1.61,-0.22,0.51,0.61,-0.19,-0.18,-0.26,1.81,1.58,0.82,NA,-0.29,1.66,NA,0.02,-0.28,-0.06,3.54
ADAMTSL3,0.8,NA,NA,0.47,-0.24,0.52,-0.05,0.14,1.59,0.31,NA,-0.59,NA,NA,-1.34,0.19,0.16,0.53,NA
