"","","","AP-SS2L","AP-94ED","AP-9D3B","AP-UG7J","AP-5MX6","AP-7KJ6","AP-KGMR","AP-RBLG","AP-YF3B","AP-QAHT","AP-HFEA","AP-G79N","AP-U8MP","AP-MAZ4","AP-ZLDH","AP-2XNK","AP-VLXG","AP-MJ52","AP-JKPX","AP-WTXJ","AP-HMFR","AP-SJVE","AP-AGZG","AP-5JDU","AP-FX68","AP-LWHD","AP-RA2G","AP-CT3G","AP-52RG","AP-B2SL","AP-EZEX","AP-TBFQ","AP-352Q","AP-DN2V","AP-YTZ8","AP-5L2V","AP-9UHJ","AP-E98M","AP-KX5B","AP-V6UJ","AP-KXUT","AP-DM87","AP-WDKZ","AP-N8FG","AP-AJWE","AP-DT88","AP-6EWG","AP-8MWD","AP-W455","AP-D9X4","AP-4HAU","AP-9PXS","AP-A5NG","AP-D35H","AP-HKYN","AP-XSR5","AP-AAFC","AP-JDN4","AP-XVLY","AP-NMZS","AP-EFHT","AP-4M7L","AP-8PRJ","AP-4LRG","AP-3336","AP-K24D","AP-27JZ","AP-XCJX","AP-QUHC","AP-QD4Q","AP-62LT","AP-E7CU","AP-HML4","AP-DMUM","AP-RQNH","AP-EPNF","AP-B9CH","AP-67ZV","AP-JK59","AP-9LNA","AP-F595","AP-JBET","AP-3FY5","AP-MGNN","AP-WPAM","AP-2E8Q","AP-7GDN"
"NP_000284.1:s27","PHKB s27","PHKB","NaN","NaN","NaN","NaN","NaN","NaN","-2.1","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","-1.59","NaN","NaN","0.78","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","1.08","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","0.11","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","0.22","NaN","-2.07","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","-1.28","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","0.38"
"NP_000323.2:s406","ATXN1 s406","ATXN1","NaN","NaN","NaN","NaN","NaN","NaN","-0.27","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","0.25","NaN","NaN","0.74","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","0.81","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","0.33","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","0.3","NaN","0.31","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","-0.07","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","-0.68"
"NP_000323.2:s775","ATXN1 s775","ATXN1","NaN","NaN","0.94","NaN","NaN","-0.53","0.66","NaN","NaN","-0.51","NaN","NaN","-0.45","NaN","NaN","-0.24","NaN","NaN","0.16","NaN","NaN","-0.73","NaN","NaN","-0.51","NaN","0.54","0.39","NaN","-0.04","NaN","NaN","NaN","NaN","NaN","NaN","-0.67","-0.18","NaN","-0.72","0.24","NaN","-0.04","NaN","NaN","-0.51","NaN","NaN","-0.26","0.73","NaN","NaN","NaN","NaN","0.15","NaN","0.16","0.44","0.07","-0.33","0.53","-0.23","NaN","NaN","NaN","NaN","NaN","-0.95","-1","NaN","0.04","0.17","NaN","NaN","NaN","NaN","0.14","NaN","0.13","NaN","0.52","0.02","-0.02","NaN","NaN","NaN","0.07"
"NP_000412.3:s159","KRT10 s159","KRT10","NaN","NaN","NaN","NaN","NaN","NaN","-0.8","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","-0.82","NaN","NaN","0.4","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","0.55","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","-0.18","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","0.49","NaN","-1.15","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","-1.88","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","-0.16"
"NP_000413.1:s97","KRT17 s97","KRT17","NaN","NaN","NaN","NaN","NaN","NaN","-0.8","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","-0.82","NaN","NaN","0.4","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","0.55","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","-0.18","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","0.49","NaN","-1.15","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","-1.88","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","-0.16"
"NP_000414.2:s62","KRT2 s62","KRT2","NaN","0.4","NaN","0.16","NaN","NaN","-0.75","NaN","NaN","NaN","-0.87","-0.01","NaN","-0.14","NaN","0.21","0.01","NaN","-0.86","NaN","NaN","NaN","NaN","-0.63","NaN","NaN","NaN","0.54","NaN","NaN","NaN","NaN","NaN","-0.61","-0.68","0.82","NaN","NaN","NaN","0.22","NaN","NaN","NaN","-0.46","-1.35","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","-0.08","0.78","NaN","0.37","NaN","NaN","NaN","NaN","-0.71","-0.9","NaN","NaN","NaN","NaN","NaN","0.07","NaN","-1.32","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","-0.52","NaN","0.52"
"NP_000415.2:s16","KRT5 s16","KRT5","NaN","NaN","NaN","NaN","NaN","-0.32","NaN","NaN","NaN","-2.36","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","-2.11","NaN","NaN","NaN","NaN","NaN","NaN","-2.4","-0.4","NaN","NaN","0.78","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","-1.78","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","-2.34","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","-1.48","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"NP_000415.2:s64","KRT5 s64","KRT5","NaN","NaN","0.21","NaN","NaN","-0.78","-3.6","-3.22","NaN","-4.93","NaN","NaN","NaN","NaN","NaN","-3.92","NaN","NaN","-3.45","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","-1.6","NaN","-3.18","-3.73","-1.5","-2.03","NaN","NaN","NaN","-3.66","-0.8","NaN","-3.88","0.1","NaN","NaN","NaN","NaN","-0.91","NaN","NaN","-0.41","NaN","NaN","NaN","NaN","NaN","NaN","NaN","1.19","-1.7","NaN","-2.56","0.19","-0.8","-2.52","NaN","NaN","NaN","NaN","NaN","-2.67","NaN","-1.52","-1.36","NaN","-3.75","NaN","NaN","NaN","NaN","-1.31","NaN","5.07","-1","-0.96","NaN","NaN","-3.03","-1.39"
"NP_000415.2:s75","KRT5 s75","KRT5","NaN","NaN","NaN","NaN","NaN","NaN","NaN","-1.7","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","-1.36","-1.13","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","-0.8","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","-1.8","NaN"
"NP_000539.2:s1411","TSC2 s1411","TSC2","NaN","-0.31","-0.43","0.1","NaN","-0.28","-1.41","NaN","NaN","-1.08","-0.05","-0.06","0.35","-0.2","NaN","0.01","-0.49","NaN","0.55","NaN","0.18","-0.41","NaN","-0.63","0.66","NaN","0.48","0.42","0.13","-0.08","NaN","NaN","NaN","0.6","-0.17","-0.7","-0.05","0.79","0.01","0.06","0.12","NaN","-1.05","-0.13","-3.53","-0.28","0.24","NaN","-0.12","0.11","NaN","NaN","0.31","0.56","0.99","0.36","0.49","-0.71","-0.39","0.12","-0.88","0.02","NaN","0.17","0.07","NaN","NaN","-0.28","0.16","NaN","0.08","0.56","-0.15","NaN","NaN","NaN","0.85","-0.27","0.56","-0.17","-0.35","-0.03","-0.6","0.41","-0.65","NaN","0.59"
"NP_000601.3:s697","CD44 s697","CD44","-0.04","-0.26","-0.75","0.79","0.07","0.05","0.2","-1.1","-0.14","-0.17","0.71","0.34","NaN","0.28","-0.67","-2.73","-0.47","-0.71","-0.66","0.08","0.29","NaN","0.17","-0.88","NaN","0.59","NaN","0.01","-0.01","-1.47","-2.59","0.4","-1.2","0.61","0","-1.06","0.07","-0.05","0.78","0.51","0.45","0","NaN","0.78","-1.45","-0.6","-0.04","-0.36","0.3","NaN","-0.54","-1.24","-0.17","0.11","NaN","-1.48","0.36","1.23","0.15","1.15","-0.52","-0.48","-0.11","0.36","-0.24","0.48","-0.23","NaN","-1.35","0.91","0.62","0.39","0.56","-0.38","0.67","-0.66","NaN","-0.65","-0.16","-0.16","-1.06","-0.5","-0.15","0.1","-1.44","0.99","-1.4"
"NP_000601.3:s706","CD44 s706","CD44","-0.95","NaN","NaN","0.98","-0.14","NaN","NaN","NaN","NaN","NaN","-0.11","NaN","NaN","NaN","0.2","NaN","NaN","-0.76","NaN","0.12","0.56","NaN","-0.74","-2.36","NaN","NaN","NaN","NaN","0.06","NaN","NaN","NaN","NaN","NaN","NaN","-0.43","NaN","NaN","0.75","NaN","NaN","NaN","NaN","-0.86","-2.59","NaN","-0.67","NaN","NaN","NaN","NaN","NaN","0.17","-0.25","NaN","-0.4","NaN","NaN","NaN","NaN","NaN","NaN","NaN","-1.16","-0.07","0.46","NaN","NaN","NaN","0.28","NaN","NaN","NaN","NaN","0.55","NaN","NaN","-1.1","NaN","-0.1","NaN","NaN","NaN","-0.96","NaN","NaN","NaN"
"NP_000601.3:t47","CD44 t47","CD44","0.21","NaN","NaN","NaN","0.63","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","-0.2","NaN","NaN","0.02","NaN","0.29","NaN","NaN","0.18","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","-0.22","NaN","NaN","NaN","0.2","NaN","NaN","NaN","NaN","-0.46","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"NP_000700.1:s347","BCKDHA s347","BCKDHA","NaN","NaN","-1.21","NaN","NaN","-1.77","-0.76","NaN","NaN","-1.86","NaN","NaN","NaN","NaN","NaN","-0.66","NaN","NaN","1.21","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","0.28","NaN","-0.89","NaN","NaN","NaN","NaN","NaN","NaN","-1.9","-0.36","NaN","-0.99","0.29","NaN","NaN","NaN","NaN","0.79","NaN","NaN","0.77","NaN","NaN","NaN","NaN","NaN","NaN","NaN","0.25","-0.79","-0.86","-0.87","-0.73","0.18","NaN","NaN","NaN","NaN","NaN","NaN","-1.53","NaN","-1.18","2.13","NaN","NaN","NaN","NaN","NaN","NaN","0.26","NaN","-0.44","0.36","-0.03","NaN","NaN","NaN","0.32"
"NP_000996.2:t221","RPS3 t221","RPS3","0.7","0.91","NaN","-0.47","0.36","-0.2","0.06","NaN","NaN","-0.83","-0.62","0.34","NaN","0.37","-0.64","-1.44","0.55","-0.94","0.07","-0.35","-0.03","NaN","-0.54","0.53","NaN","NaN","NaN","0.49","-0.96","0.47","NaN","NaN","NaN","-0.03","-0.71","1.06","0.53","-0.99","-0.73","-0.05","-0.86","NaN","NaN","-0.52","-1.02","NaN","-0.92","NaN","NaN","NaN","NaN","NaN","0.54","0.12","NaN","0.52","-0.39","NaN","-0.6","-0.15","NaN","NaN","NaN","-0.54","-0.77","-1.4","NaN","NaN","0.12","-0.71","-1.32","NaN","-1.02","NaN","-0.09","NaN","NaN","-0.41","1.01","-0.42","NaN","NaN","NaN","2.53","0.44","NaN","-0.95"
"NP_001001132.1:s904","ITSN1 s904","ITSN1","NaN","NaN","NaN","0.36","NaN","NaN","-1.41","NaN","0.18","NaN","-0.52","NaN","NaN","NaN","NaN","-0.9","NaN","NaN","-0.14","NaN","-0.43","NaN","NaN","0.01","NaN","-0.16","NaN","0.56","0.35","NaN","NaN","NaN","NaN","NaN","NaN","-0.37","NaN","NaN","0.67","-0.28","NaN","0.16","NaN","0.16","-1.3","NaN","0.36","-0.95","NaN","NaN","1.07","-0.6","0.22","0.4","NaN","0.63","0.6","NaN","0.01","NaN","NaN","NaN","NaN","-0.14","0.34","NaN","-0.05","NaN","NaN","NaN","0.52","NaN","NaN","NaN","NaN","-0.57","NaN","-0.91","NaN","0.41","NaN","NaN","NaN","0.89","NaN","NaN","-0.58"
"NP_001002909.1:s758","GPATCH8 s758","GPATCH8","NaN","NaN","NaN","NaN","NaN","-0.63","NaN","NaN","NaN","-1.26","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","-0.3","NaN","NaN","NaN","NaN","NaN","NaN","-0.67","-0.88","NaN","NaN","-0.2","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","0.22","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","-0.94","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","-0.55","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"NP_001003407.1:s371","ABLIM1 s371","ABLIM1","NaN","NaN","0.26","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","0.87","NaN","NaN","-0.36","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","-0.17","NaN","NaN","-0.14","0.46","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","0.26","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","1.06","0.65","0.39","NaN","NaN","NaN","NaN"
"NP_001004065.2:s241","PALM2AKAP2 s241","PALM2AKAP2","-0.33","-0.24","NaN","0.52","-0.92","0.22","-3","-0.94","-0.21","-1.02","0.82","1.09","NaN","-0.68","-1.05","0.22","-1.03","-0.41","0.12","1.03","0.29","NaN","0.23","-0.28","NaN","0.77","NaN","0.28","0.27","-0.64","-1.64","0.07","-0.42","-0.57","0.81","-0.16","-0.4","0.42","0.31","-0.17","0.44","0.79","NaN","0.23","-1.91","NaN","0.09","-1.17","NaN","NaN","0.42","1.04","0.98","0.41","NaN","-0.35","0.34","NaN","-0.97","0.67","NaN","NaN","-0.06","-0.16","-0.16","0.63","0.54","NaN","0.15","0.24","1.07","NaN","-0.04","0.31","-0.62","0.65","NaN","0","0.1","1.14","NaN","NaN","NaN","-0.2","-0.63","-0.66","0.89"
"NP_001004065.2:s482","PALM2AKAP2 s482","PALM2AKAP2","-0.18","NaN","NaN","NaN","0.37","0.3","NaN","NaN","NaN","-1.3","NaN","NaN","NaN","NaN","-0.21","NaN","NaN","0.11","NaN","0.52","NaN","NaN","0.37","NaN","NaN","NaN","NaN","NaN","NaN","-0.78","NaN","NaN","NaN","NaN","NaN","NaN","0.11","0.11","NaN","NaN","0.49","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","0.88","NaN","NaN","NaN","NaN","NaN","0.81","NaN","NaN","-0.43","0.17","NaN","NaN","NaN","NaN","0.01","NaN","NaN","NaN","0.4","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"NP_001005242.2:s151","PKP2 s151","PKP2","NaN","NaN","-0.88","NaN","NaN","2.24","NaN","NaN","NaN","-1.19","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","-1.32","NaN","NaN","NaN","NaN","NaN","NaN","0.67","-0.7","NaN","NaN","-0.63","NaN","NaN","NaN","NaN","0.86","NaN","NaN","-1.54","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","-1.64","NaN","NaN","-0.4","-0.38","NaN","NaN","NaN","NaN","NaN","NaN","3.85","NaN","NaN","-1.11","NaN","NaN","NaN","NaN","NaN","NaN","0.03","NaN","1.49","-0.99","0.01","NaN","NaN","NaN","NaN"
"NP_001005242.2:s251","PKP2 s251","PKP2","NaN","NaN","NaN","NaN","NaN","0.56","-3.22","NaN","NaN","-1.56","NaN","NaN","NaN","NaN","NaN","-2.47","NaN","NaN","-0.28","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","-2.26","NaN","-1.01","NaN","NaN","NaN","NaN","NaN","NaN","-0.45","-0.91","NaN","-2.43","-0.85","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","0.48","NaN","-3.05","-0.52","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","3.3","NaN","-2.97","NaN","NaN","NaN","NaN","NaN","NaN","NaN","-0.82","NaN","NaN","NaN","NaN","NaN","NaN","NaN","-3.21"
